item_type,category,identifier,detail,href
"package","npm","@cap-js/sqlite","credential_stealer; data_exfiltration; worm | versions: 2.2.2","/ti/packages/npm/@cap-js/sqlite"
"package","npm","@cap-js/postgres","credential_stealer; data_exfiltration; worm | versions: 2.2.2","/ti/packages/npm/@cap-js/postgres"
"package","npm","@cap-js/db-service","credential_stealer; data_exfiltration; worm | versions: 2.10.1","/ti/packages/npm/@cap-js/db-service"
"package","npm","mbt","credential_stealer; data_exfiltration; worm | versions: 1.2.48","/ti/packages/npm/mbt"
"package","npm","@beproduct/nestjs-auth","other | versions: 0.1.2, 0.1.3, 0.1.4, 0.1.5, 0.1.6, 0.1.7, 0.1.8, 0.1.9, 0.1.10, 0.1.11, 0.1.12, 0.1.13, 0.1.14, 0.1.15, 0.1.16, 0.1.17, 0.1.18, 0.1.19","/ti/packages/npm/@beproduct/nestjs-auth"
"package","npm","@dirigible-ai/sdk","other | versions: 0.6.2, 0.6.3","/ti/packages/npm/@dirigible-ai/sdk"
"package","npm","@draftauth/client","other | versions: 0.2.1, 0.2.2","/ti/packages/npm/@draftauth/client"
"package","npm","@draftauth/core","other | versions: 0.13.1, 0.13.2","/ti/packages/npm/@draftauth/core"
"package","npm","@draftlab/auth","other | versions: 0.24.1, 0.24.2","/ti/packages/npm/@draftlab/auth"
"package","npm","@draftlab/auth-router","other | versions: 0.5.1, 0.5.2","/ti/packages/npm/@draftlab/auth-router"
"package","npm","@draftlab/db","other | versions: 0.16.1, 0.16.2","/ti/packages/npm/@draftlab/db"
"package","npm","@mesadev/rest","other | versions: 0.28.3","/ti/packages/npm/@mesadev/rest"
"package","npm","@mesadev/saguaro","other | versions: 0.4.22","/ti/packages/npm/@mesadev/saguaro"
"package","npm","@mesadev/sdk","other | versions: 0.28.3","/ti/packages/npm/@mesadev/sdk"
"package","npm","@mistralai/mistralai","other | versions: 2.2.2, 2.2.3, 2.2.4","/ti/packages/npm/@mistralai/mistralai"
"package","npm","@mistralai/mistralai-azure","other | versions: 1.7.1, 1.7.2, 1.7.3","/ti/packages/npm/@mistralai/mistralai-azure"
"package","npm","@mistralai/mistralai-gcp","other | versions: 1.7.1, 1.7.2, 1.7.3","/ti/packages/npm/@mistralai/mistralai-gcp"
"package","npm","@ml-toolkit-ts/preprocessing","other | versions: 1.0.2, 1.0.3","/ti/packages/npm/@ml-toolkit-ts/preprocessing"
"package","npm","@ml-toolkit-ts/xgboost","other | versions: 1.0.3, 1.0.4","/ti/packages/npm/@ml-toolkit-ts/xgboost"
"package","npm","@opensearch-project/opensearch","other | versions: 3.5.3, 3.6.2, 3.7.0, 3.8.0","/ti/packages/npm/@opensearch-project/opensearch"
"package","npm","@squawk/airport-data","other | versions: 0.7.4, 0.7.5, 0.7.6, 0.7.7, 0.7.8","/ti/packages/npm/@squawk/airport-data"
"package","npm","@squawk/airports","other | versions: 0.6.2, 0.6.3, 0.6.4, 0.6.5, 0.6.6","/ti/packages/npm/@squawk/airports"
"package","npm","@squawk/airspace","other | versions: 0.8.1, 0.8.2, 0.8.3, 0.8.4, 0.8.5","/ti/packages/npm/@squawk/airspace"
"package","npm","@squawk/airspace-data","other | versions: 0.5.3, 0.5.4, 0.5.5, 0.5.6, 0.5.7","/ti/packages/npm/@squawk/airspace-data"
