Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,,keyv,6.0.0,,2026-08-04T09:35:00.763Z,2026-08-04T09:41:25.543Z
npm,@thiennq,docs-viewer,1.6.2,,2026-08-04T09:38:13.626Z,2026-08-04T09:44:25.577Z
npm,,cacheable-request,13.0.20,,2026-08-04T10:11:24.412Z,2026-08-04T10:12:36.517Z
npm,,cacheable,2.5.1,,2026-08-04T10:10:44.549Z,2026-08-04T10:13:44.185Z
npm,@cacheable,node-cache,3.1.2,,2026-08-04T10:10:34.275Z,2026-08-04T10:15:25.237Z
npm,@cacheable,net,2.1.1,,2026-08-04T10:09:44.773Z,2026-08-04T10:15:33.883Z
npm,,flat-cache,6.1.24,,2026-08-04T10:10:55.001Z,2026-08-04T10:16:08.162Z
npm,@cacheable,memory,2.2.1,,2026-08-04T10:11:29.866Z,2026-08-04T10:16:09.365Z
npm,,cache-manager,7.2.10,,2026-08-04T10:14:41.662Z,2026-08-04T10:17:32.447Z
npm,,file-entry-cache,11.1.6,,2026-08-04T10:13:02.348Z,2026-08-04T10:18:16.785Z
npm,@hubsync,web-sdk-react,6.3.11,,2026-08-04T10:17:05.592Z,2026-08-04T10:25:00.712Z
npm,@hubsync,web-sdk-react,6.3.7,,2026-08-04T10:12:34.393Z,2026-08-04T10:24:57.516Z
npm,@hubsync,web-sdk-react,6.3.10,,2026-08-04T10:16:41.217Z,2026-08-04T10:24:57.820Z
npm,@hubsync,web-sdk-react,6.3.8,,2026-08-04T10:14:14.381Z,2026-08-04T10:25:06.821Z
npm,@hubsync,web-sdk-react,6.3.9,,2026-08-04T10:14:34.634Z,2026-08-04T10:24:52.823Z
npm,@hubsync,web-sdk-react,6.3.12,,2026-08-04T10:18:22.678Z,2026-08-04T10:24:58.435Z
npm,@cacheable,utils,2.5.1,,2026-08-04T10:14:21.305Z,2026-08-04T10:19:17.635Z
npm,@hubsync,web-sdk-react,6.3.15,,2026-08-04T10:20:51.185Z,2026-08-04T10:25:02.674Z
